C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
3.8491791e-08,1.1394408e-08,2.1264885e-14,1.1394407e-08,0.7788509,2.0538325e-14,2.0246623e-14,1.921048e-14,1.3547554e-08,0.7808
4.610681e-05,1.4028268e-05,2.2131877e-14,1.4028268e-05,0.85258575,2.2332642e-14,2.1914964e-14,2.2274711e-14,1.6073266e-05,0.8576
0.21969459,0.06853172,2.3816227e-14,0.06853172,0.94740911,2.3324423e-14,2.4115747e-14,2.4187386e-14,0.088422087,0.928
1.0767787,0.32340033,2.6168357e-14,0.32340033,1.087726,2.5810462e-14,2.5234035e-14,2.5453372e-14,0.37764571,0.992
0.2140934,1.0282457e-09,5.5782666e-15,1.0282451e-09,3.4275061e-09,5.8610829e-15,5.9251868e-15,6.0061084e-15,1.1996288e-09,0.2
0.21409443,1.0282453e-09,5.5921853e-15,1.0282455e-09,3.4275066e-09,5.6567638e-15,5.8743534e-15,6.1461496e-15,1.1996294e-09,0.2
0.2141932,1.0282763e-09,5.8385636e-15,1.0282761e-09,3.4276127e-09,5.4089841e-15,5.2966121e-15,6.2587088e-15,1.1996661e-09,0.2
0.22095114,1.0390933e-09,5.5124299e-15,1.0390938e-09,3.4668258e-09,5.880588e-15,5.8465453e-15,5.3957903e-15,1.2141483e-09,0.2176
0.26656823,1.1329366e-09,7.5031583e-15,1.1329372e-09,3.8062056e-09,6.7514477e-15,6.9002801e-15,5.838638e-15,1.3344728e-09,0.2656
0.33916556,1.2982784e-09,9.5539816e-15,1.2982774e-09,4.3657169e-09,9.2004235e-15,8.6299002e-15,9.30028e-15,1.5310591e-09,0.3408
0.4125815,1.5222859e-09,1.0369553e-14,1.5222868e-09,5.1197904e-09,1.1617185e-14,1.1027305e-14,9.9477972e-15,1.7963846e-09,0.416
0.48552677,1.8333745e-09,1.2322613e-14,1.8333744e-09,6.1675833e-09,1.3106853e-14,1.3122285e-14,1.3463339e-14,2.1656476e-09,0.488
0.55810851,2.2970545e-09,1.3489314e-14,2.2970559e-09,7.7323295e-09,1.4814116e-14,1.5204139e-14,1.252828e-14,2.7166217e-09,0.56
0.63081619,3.0817513e-09,1.6865128e-14,3.0817513e-09,1.0385517e-08,1.6558953e-14,1.6717431e-14,1.5202492e-14,3.6480274e-09,0.632
0.70396712,4.7316531e-09,1.7606516e-14,4.7316528e-09,1.5959283e-08,1.8847936e-14,1.9444195e-14,1.8363634e-14,5.6056961e-09,0.704
0.7774265,1.0842854e-08,2.0292842e-14,1.0842855e-08,3.6542201e-08,1.9437428e-14,2.0542278e-14,1.8855607e-14,1.2856748e-08,0.7792
0.85073656,6.5406918e-06,2.2114791e-14,6.5406918e-06,2.1557295e-05,2.2547066e-14,2.1596773e-14,1.99549e-14,7.5211445e-06,0.856
0.9370814,0.043473986,2.3317964e-14,0.043473986,0.13995086,2.3847997e-14,2.3831087e-14,2.3499859e-14,0.053153828,0.9264
1.0866903,0.32270067,2.5240178e-14,0.32270067,1.0744243,2.5083983e-14,2.6225558e-14,2.5028308e-14,0.37686744,0.992
0.21608498,0.0052152742,6.1122899e-15,0.0052152742,0.06456032,7.6069799e-15,6.6949593e-15,7.0521935e-15,0.00049842901,0.2336
0.21608785,0.0052158646,6.919613e-15,0.0052158646,0.064562305,6.7760008e-15,6.9920038e-15,7.3867901e-15,0.00049849066,0.2336
0.21634985,0.0052688337,7.0685906e-15,0.0052688337,0.064740015,6.6841847e-15,7.106503e-15,6.8918176e-15,0.00050407835,0.2336
